DATE,Layoffs rate,Change Layoff,New Goods,Change New Goods,House Permits,Change House Permits,Money Stock,Change Money Stock,Percent Savings,Change Percent Savings,Unemployment Rate,Change Unemployment Rate,Change Durable Goods,Change Non Defense,Change Machinery,Change stocks,GDP,Change GDP,Inc/Dec,USD,Change Tech,Change Vehicle,Consumer Confidence,Change Consumer Confidence,Business Confidence,Change Business Confidence
1/2/2001,1.2,0.3,335205,-1719,1656,3,1100.55,7.45,4.9,0.4,4.2,0.1,9538,3968,-99,0.044593,13299.984,-55.2,1,112.040001,-546,2311,101.109,-0.4254,98.93481,-0.38931
1/3/2001,1.5,0.3,333486,-11596,1659,7,1108,8.3,5.3,-0.3,4.3,0.1,24675,7402,-1136,0.044593332,13299.984,-54.2,1,117.699997,-546,2311,100.6836,-0.4254,98.5455,-0.38931
1/4/2001,1.8,-0.2,321890,7753,1666,-1,1116.3,1.475,5,-0.6,4.4,-0.1,-34359,-13676,-776,-0.048835173,13299.984,-53.2,0,115.709999,-2463,1540,100.5,-0.1836,97.96476,-0.58074
1/5/2001,1.6,0.2,329643,-5599,1665,-39,1117.775,7.7,4.4,0,4.3,0.2,13658,2592,1032,-0.045231396,13244.784,36.075,0,119.110001,-3403,-1493,100.4632,-0.0368,97.49699,-0.46777
1/6/2001,1.8,0,324044,-5643,1626,-28,1125.475,11.985,4.4,1.2,4.5,0.1,7830,5880,-149,0.036648973,13245.784,36.075,0,119.389999,1182,1389,100.6,0.1368,97.3221,-0.17489
1/7/2001,1.8,-0.2,318401,3437,1598,17,1137.46,10.24,5.6,1.2,4.6,0.3,-43748,-12914,-1168,0.005460543,13246.784,36.075,1,117.07,352,-754,100.6879,0.0879,97.38268,0.06058
1/8/2001,1.6,-0.1,321838,-10017,1615,-50,1147.7,59.95,6.8,0.2,4.9,0.1,26789,2504,1016,-0.003748971,13280.859,116.143,1,113.480003,-1463,-601,100.5922,-0.0957,97.48931,0.10663
1/9/2001,1.5,0.7,311821,6716,1565,1,1207.65,-40.99,7,-3.6,5,0.3,-1726,4981,-198,-0.003691565,13281.859,116.143,1,113.690002,-27,269,100.2567,-0.3355,97.60825,0.11894
1/10/2001,2.2,-0.4,318537,-8529,1566,85,1166.66,3.09,3.4,0.7,5.3,0.2,5537,-6404,-2080,-0.023366404,13282.859,116.143,1,114.709999,-966,-2273,99.77334,-0.48336,97.87094,0.26269
1/11/2001,1.8,0.1,310008,1723,1651,29,1169.75,12.71,4.1,0.4,5.5,0.2,-15037,-41,678,-0.016725989,13397.002,81.15,1,115.610001,-255,594,99.59906,-0.17428,98.17638,0.30544
